,date_live_nk,category_sk,listing_sk,user_sk_encrypted,replies,successful_replies,average_conversation_length,first_reply_date,last_reply_date
32,2017-09-10,olx|mea|za|800|801,olx|mea|za|1051310740,0970b9cbfaec61ace582e77f49d997be,1.0,1.0,43.0,2017-09-16,2017-09-16
33,2017-09-19,olx|mea|za|362|379,olx|mea|za|1051470974,7ff639b42323c841a6c992e70505c9a8,2.0,2.0,1.0,2017-09-21,2017-09-21
34,2017-09-13,olx|mea|za|362|378,olx|mea|za|1051376138,20df5d77dcabaf6062e031f1a2cdc49e,1.0,0.0,1.0,2017-09-14,2017-09-14
35,2017-08-28,olx|mea|za|881|882,olx|mea|za|1051152848,f9f647460343535b31775f6bf94d5ec6,1.0,0.0,1.0,2017-09-21,2017-09-21
36,2017-09-17,olx|mea|za|800|801,olx|mea|za|1051436950,d11a6fa689dd1eb6c7f059e030c10600,6.0,6.0,7.0,2017-09-17,2017-09-19
37,2017-09-18,olx|mea|za|362|378,olx|mea|za|1051451072,f1ca462b8ac97366ee23d1038c8955ee,4.0,2.0,2.0,2017-09-18,2017-09-21
38,2017-07-03,olx|mea|za|185|211,olx|mea|za|1050302088,44d8012a90753250506ef5673e3fd8bc,1.0,0.0,1.0,2017-09-20,2017-09-20
39,2017-07-15,olx|mea|za|800|802,olx|mea|za|1050545248,8bffdb7e9c4109020578981b8594f826,1.0,0.0,1.0,2017-09-18,2017-09-18
40,2017-09-16,olx|mea|za|362|378,olx|mea|za|1051426717,995de6881ea5263b1c5bfe2f5139488e,1.0,1.0,4.0,2017-09-16,2017-09-16
41,2017-07-18,olx|mea|za|362|379,olx|mea|za|1050598160,20f2683fdf56c96e266e784828849ffd,1.0,0.0,1.0,2017-09-21,2017-09-21
42,2017-07-27,olx|mea|za|362|377,olx|mea|za|1050723076,2986b2c6a88a1d69583a34b5b810c1d1,1.0,0.0,1.0,2017-09-14,2017-09-14
43,2017-09-21,olx|mea|za|806|808,olx|mea|za|1051507602,7f8ab131437b0220823bf4f2fc48ea98,1.0,1.0,10.0,2017-09-21,2017-09-21
44,2017-09-17,olx|mea|za|362|378,olx|mea|za|1051430766,712ad3b1decd3224f75e113835a88b90,2.0,2.0,5.0,2017-09-17,2017-09-18
45,2017-09-14,olx|mea|za|815|817,olx|mea|za|1051394569,7dccb86b584ebd49e61c77e4a351099a,1.0,1.0,1.0,2017-09-16,2017-09-16
46,2017-09-15,olx|mea|za|362|378,olx|mea|za|1051416893,4f7c6b33b7e0bcf7c9426b57cf7c4ae9,1.0,1.0,1.0,2017-09-16,2017-09-16
47,2017-08-21,olx|mea|za|811|813,olx|mea|za|1051055143,7bfc326cee14d3a1c0762fb05b09d0b3,1.0,0.0,2.0,2017-09-17,2017-09-17
48,2017-09-15,olx|mea|za|362|378,olx|mea|za|1051420484,292d7654c9ade0ccb1f6210f841447f1,7.0,4.0,2.0,2017-09-16,2017-09-21
49,2017-08-14,olx|mea|za|806|809,olx|mea|za|1050963892,4be4cf47aa174a6040ad9e80daeb079d,1.0,1.0,10.0,2017-09-17,2017-09-17
50,2017-08-23,olx|mea|za|362|378,olx|mea|za|1051085601,085b10d5151af55cc9ccc719a5e4c87f,1.0,0.0,1.0,2017-09-14,2017-09-14
51,2017-07-24,olx|mea|za|362|378,olx|mea|za|1050674069,3617df52e58d3c137e9fab73b94754ac,1.0,0.0,1.0,2017-09-15,2017-09-15
52,2017-09-10,olx|mea|za|362|377,olx|mea|za|1051320494,5d4c9aa820a2baef54d627cf5d2634f7,1.0,1.0,2.0,2017-09-18,2017-09-18
53,2017-08-09,olx|mea|za|800|912,olx|mea|za|1050894388,68e7f5512dd5a6bcdc90bdc4d617558a,1.0,0.0,1.0,2017-09-18,2017-09-18
54,2017-07-31,olx|mea|za|362|378,olx|mea|za|1050775597,0fc442eb35b818ff5193c7116512424d,1.0,0.0,1.0,2017-09-18,2017-09-18
55,2017-09-13,olx|mea|za|811|812,olx|mea|za|1051368199,55a636b6418afb54e325fcc697288574,8.0,8.0,7.0,2017-09-14,2017-09-21
56,2017-09-18,olx|mea|za|362|379,olx|mea|za|1051449247,d3b3f2dae4bfb688eaf7d8c193e3194d,1.0,0.0,1.0,2017-09-18,2017-09-18
57,2017-07-14,olx|mea|za|800|801,olx|mea|za|1050534568,6717ee3d0407f0bc7f1093ef34d2cf99,2.0,0.0,1.0,2017-09-18,2017-09-19
58,2017-09-21,olx|mea|za|191|633,olx|mea|za|1051499508,43484462428e3c6a68131c40d397404b,1.0,1.0,6.0,2017-09-21,2017-09-21
59,2017-09-18,olx|mea|za|800|801,olx|mea|za|1051447113,5ae94c22c26f27a306eab74c63d9946e,1.0,1.0,2.0,2017-09-19,2017-09-19
60,2017-09-10,olx|mea|za|853|856,olx|mea|za|1051325079,a404fef9b58b842a159482435f300c9c,1.0,1.0,3.0,2017-09-19,2017-09-19
61,2017-09-12,olx|mea|za|362|378,olx|mea|za|1051355724,352d5d5aa6d68818a590e5a95411ff84,1.0,0.0,1.0,2017-09-15,2017-09-15
62,2017-09-15,olx|mea|za|362|377,olx|mea|za|1051413400,3f0b12d7765439d276736dcdbe78e87b,1.0,1.0,4.0,2017-09-15,2017-09-15
63,2017-08-31,olx|mea|za|362|378,olx|mea|za|1051188659,dc5a508f7d187324b13d540afb8ace5d,1.0,0.0,1.0,2017-09-17,2017-09-17
64,2017-08-05,olx|mea|za|800|802,olx|mea|za|1050844948,1acf839d7e2463891e41b8819e71d862,1.0,0.0,1.0,2017-09-15,2017-09-15
65,2017-09-13,olx|mea|za|362|376,olx|mea|za|1051381332,303e283325bda106322c177c770ebad8,2.0,1.0,1.0,2017-09-14,2017-09-14
66,2017-08-17,olx|mea|za|806|808,olx|mea|za|1051014426,10ed3bd8ce290116e4a65e97e14abd32,1.0,0.0,2.0,2017-09-15,2017-09-15
67,2017-08-30,olx|mea|za|806|808,olx|mea|za|1051176859,65a89a43b182b37567329463ca4c1d7f,1.0,0.0,1.0,2017-09-18,2017-09-18
68,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051473660,c96e98c3b38e621cbef269082659ead7,1.0,0.0,1.0,2017-09-20,2017-09-20
69,2017-09-20,olx|mea|za|362|416,olx|mea|za|1051492461,70b5f062955f931432c5d1b4316afbd5,1.0,1.0,2.0,2017-09-21,2017-09-21
70,2017-09-21,olx|mea|za|815|819,olx|mea|za|1051509869,21ff0986a6f77542cf51f5fa0a76866a,1.0,1.0,3.0,2017-09-21,2017-09-21
71,2017-09-07,olx|mea|za|362|378,olx|mea|za|1051283744,6e52c43c81ce4593ffd190e6d19d04ad,1.0,1.0,1.0,2017-09-20,2017-09-20
72,2017-09-15,olx|mea|za|16|363,olx|mea|za|1051413020,275c7ee7bc472cc1ac72d357e6a3c8e8,17.0,17.0,5.0,2017-09-16,2017-09-20
73,2017-07-15,olx|mea|za|815|819,olx|mea|za|1050551301,afe4ebc63965df04c7389880075d72f6,1.0,0.0,1.0,2017-09-20,2017-09-20
74,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051458115,2f69e6742527feb4fcea2a19f20b0282,1.0,1.0,3.0,2017-09-20,2017-09-20
75,2017-09-18,olx|mea|za|362|378,olx|mea|za|1051442781,2ff348e72514a163c8f06a13994cce05,1.0,0.0,2.0,2017-09-18,2017-09-18
76,2017-09-21,olx|mea|za|800|802,olx|mea|za|1051505809,b6d74db14f15b0db4be4e703af246a2e,1.0,1.0,2.0,2017-09-21,2017-09-21
77,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051456963,23c5b3f7547be069493ea60a02893983,1.0,1.0,3.0,2017-09-19,2017-09-19
78,2017-08-16,olx|mea|za|800|870,olx|mea|za|1050986320,daa7eeb20bc0fbd7774d68effc07650f,1.0,0.0,1.0,2017-09-15,2017-09-15
79,2017-09-17,olx|mea|za|806|807,olx|mea|za|1051433056,4ef151345df5e9adee92038e1b812974,3.0,3.0,2.0,2017-09-19,2017-09-19
80,2017-09-18,olx|mea|za|362|378,olx|mea|za|1051442858,3081bd95af08dd2a0c0abfe634e5f8c5,1.0,1.0,2.0,2017-09-18,2017-09-18
81,2017-07-05,olx|mea|za|800|801,olx|mea|za|1050360795,647eddecf160ae338831878f2fa844fe,1.0,0.0,1.0,2017-09-20,2017-09-20
82,2017-08-13,olx|mea|za|191|207,olx|mea|za|1050948181,929bd8ecdbbd4be83a926be31b79581f,1.0,0.0,1.0,2017-09-21,2017-09-21
83,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051461857,617749a92b85ff9e86a955e231bd6fa6,1.0,1.0,2.0,2017-09-20,2017-09-20
84,2017-09-19,olx|mea|za|185|243,olx|mea|za|1051473070,603e80e28654700cc3aebf62831e788e,1.0,1.0,25.0,2017-09-19,2017-09-19
85,2017-09-09,olx|mea|za|362|378,olx|mea|za|1051314035,ef8166e6b83260be9afef208df0f2b8a,1.0,0.0,1.0,2017-09-20,2017-09-20
86,2017-09-14,olx|mea|za|800|803,olx|mea|za|1051405688,a6bd8aacbef712947ba8c074bb5d5124,1.0,1.0,2.0,2017-09-20,2017-09-20
87,2017-09-11,olx|mea|za|362|378,olx|mea|za|1051340319,9af666130c1dafd164f9aeb42ad089b7,1.0,1.0,3.0,2017-09-16,2017-09-16
88,2017-08-13,olx|mea|za|362|378,olx|mea|za|1050947833,3dbd4fceb3dab14a2266ea4150ae3564,1.0,1.0,3.0,2017-09-16,2017-09-16
89,2017-09-06,olx|mea|za|811|812,olx|mea|za|1051266874,7b283f5a795313ac208df6a002bb46e3,4.0,4.0,3.0,2017-09-17,2017-09-20
90,2017-09-20,olx|mea|za|811|812,olx|mea|za|1051488827,14c8bc02263405d13dd9f11f4b456c0e,1.0,0.0,1.0,2017-09-21,2017-09-21
91,2017-09-13,olx|mea|za|362|378,olx|mea|za|1051383213,af67d2ab097a6b2cf3308ccd0096f02d,5.0,5.0,2.0,2017-09-14,2017-09-20
92,2017-08-28,olx|mea|za|806|910,olx|mea|za|1051153772,b818348bb9ced566a763133aa348de57,1.0,0.0,1.0,2017-09-14,2017-09-14
93,2017-09-06,olx|mea|za|800|805,olx|mea|za|1051272054,9f55ea6d4be74fa6efac1d45dc8b312a,1.0,1.0,5.0,2017-09-19,2017-09-19
94,2017-09-16,olx|mea|za|362|378,olx|mea|za|1051424203,9da44bcbe958579e6823cf5a0ccb1c85,2.0,2.0,7.0,2017-09-16,2017-09-16
95,2017-09-20,olx|mea|za|800|801,olx|mea|za|1051484378,129a11fb2a453f1f5547fa6ba4ab8c35,3.0,2.0,3.0,2017-09-20,2017-09-20
96,2017-09-07,olx|mea|za|800|803,olx|mea|za|1051275200,6a6dd2603a766ceaf2462dcc46468525,1.0,0.0,3.0,2017-09-18,2017-09-18
97,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051474738,38777789150835e1dbf9121d57919d7b,1.0,1.0,1.0,2017-09-19,2017-09-19
98,2017-09-17,olx|mea|za|806|808,olx|mea|za|1051430765,a2f4f7de2d190ac74fdb6789c7b0ce53,1.0,0.0,1.0,2017-09-17,2017-09-17
99,2017-07-03,olx|mea|za|362|378,olx|mea|za|1050308904,9238c188d389fe6f799f0c9f8c5157a5,1.0,0.0,2.0,2017-09-16,2017-09-16
100,2017-09-14,olx|mea|za|806|807,olx|mea|za|1051394044,517d55dbafea2dae2381bba11424c0b1,1.0,1.0,3.0,2017-09-20,2017-09-20
101,2017-09-14,olx|mea|za|362|378,olx|mea|za|1051406746,5f7a8ab4cb961db2b61a5f078308e341,14.0,12.0,2.0,2017-09-15,2017-09-21
102,2017-07-28,olx|mea|za|362|378,olx|mea|za|1050744852,38be30d750eba718cecfa547f0d3b88d,1.0,0.0,1.0,2017-09-18,2017-09-18
103,2017-09-05,olx|mea|za|600|604,olx|mea|za|1051244253,7bccee7c38359cfaf175946761552a3a,1.0,0.0,1.0,2017-09-16,2017-09-16
104,2017-07-08,olx|mea|za|362|378,olx|mea|za|1050428179,bc746379f31a603b51a478e6b02ae9b1,1.0,0.0,2.0,2017-09-14,2017-09-14
105,2017-09-16,olx|mea|za|362|377,olx|mea|za|1051423329,c10165a7e760327ea492aa8a020c6c5a,1.0,1.0,3.0,2017-09-18,2017-09-18
106,2017-08-04,olx|mea|za|185|211,olx|mea|za|1050834553,8b23b5d2a53b7daf36665d674d71c4f6,1.0,0.0,1.0,2017-09-16,2017-09-16
107,2017-09-12,olx|mea|za|362|378,olx|mea|za|1051360104,1708693f93ecd19efa81e26e2015f669,1.0,1.0,5.0,2017-09-21,2017-09-21
108,2017-09-06,olx|mea|za|16|363,olx|mea|za|1051266343,54c638a304cc32e3ff31796bb44e1305,1.0,0.0,1.0,2017-09-17,2017-09-17
109,2017-09-21,olx|mea|za|362|378,olx|mea|za|1051509360,82b76b2f587e3377211c77e97d743022,2.0,2.0,3.0,2017-09-21,2017-09-21
110,2017-09-17,olx|mea|za|800|801,olx|mea|za|1051432700,5487b056f1cdf75f3ccc80f4ea86fa7d,2.0,2.0,4.0,2017-09-17,2017-09-17
111,2017-08-10,olx|mea|za|362|379,olx|mea|za|1050905161,9c634053c497c132aad89bf55c169ef2,1.0,0.0,1.0,2017-09-20,2017-09-20
112,2017-09-13,olx|mea|za|800|802,olx|mea|za|1051368451,d9229ab129ae7285a613df8c8c9508ff,4.0,0.0,1.0,2017-09-14,2017-09-20
113,2017-07-28,olx|mea|za|881|899,olx|mea|za|1050733227,e750ad7c390b50d9bf65b9483320ef19,2.0,0.0,1.0,2017-09-17,2017-09-19
114,2017-09-18,olx|mea|za|362|378,olx|mea|za|1051440158,3e22e1817c299b836e2ca83f3253ff9b,1.0,0.0,1.0,2017-09-19,2017-09-19
115,2017-09-09,olx|mea|za|800|803,olx|mea|za|1051316862,2e7c5608b5752e08ea12a9150a456bc5,1.0,1.0,3.0,2017-09-17,2017-09-17
116,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051463092,3dd1861e73c0825203be1a371b111a19,1.0,1.0,1.0,2017-09-19,2017-09-19
117,2017-09-15,olx|mea|za|800|801,olx|mea|za|1051416810,72ebb6014a79987b171ee8a146c0a668,2.0,2.0,2.0,2017-09-15,2017-09-16
118,2017-09-18,olx|mea|za|881|899,olx|mea|za|1051454419,c91e8fcf2c2ed0ae25ff699aed2dda99,1.0,1.0,4.0,2017-09-19,2017-09-19
119,2017-08-17,olx|mea|za|362|378,olx|mea|za|1051010408,255e0ab55f0079d7088c9d26e45cc951,2.0,2.0,1.0,2017-09-16,2017-09-16
120,2017-09-18,olx|mea|za|800|801,olx|mea|za|1051440362,53c58bde6626b68c9d9a039279fb4536,2.0,0.0,1.0,2017-09-18,2017-09-18
121,2017-09-09,olx|mea|za|362|378,olx|mea|za|1051313018,54833a3f56763a90c8d4059b7f072c73,2.0,2.0,2.0,2017-09-16,2017-09-17
122,2017-09-15,olx|mea|za|881|882,olx|mea|za|1051418188,e3708bd7baadb1e1a2674c3cfa828b5f,1.0,1.0,2.0,2017-09-19,2017-09-19
123,2017-08-10,olx|mea|za|800|801,olx|mea|za|1050913032,100eb1cd3f0c729adec43d07ea8c264b,1.0,0.0,1.0,2017-09-14,2017-09-14
124,2017-08-08,olx|mea|za|806|807,olx|mea|za|1050885023,d05e160085132cdb9aa28add15c661d0,1.0,0.0,1.0,2017-09-21,2017-09-21
125,2017-07-19,olx|mea|za|362|377,olx|mea|za|1050610453,3151e0a285932881ad5c35da50f15089,1.0,0.0,2.0,2017-09-14,2017-09-14
126,2017-08-23,olx|mea|za|16|367,olx|mea|za|1051083384,e7b6fd016aee492df3b030abfc668222,1.0,0.0,1.0,2017-09-14,2017-09-14
127,2017-08-25,olx|mea|za|362|378,olx|mea|za|1051119521,e581f4a44d5678a97fb82eeafdb609a8,1.0,1.0,1.0,2017-09-15,2017-09-15
128,2017-09-13,olx|mea|za|881|882,olx|mea|za|1051383736,4e4e0626e5a2d3719cb5fa247dc76581,1.0,1.0,1.0,2017-09-18,2017-09-18
129,2017-08-30,olx|mea|za|806|808,olx|mea|za|1051181206,5c2cee9f630ab20deb30936d0d590d46,2.0,0.0,1.0,2017-09-14,2017-09-14
130,2017-09-13,olx|mea|za|16|363,olx|mea|za|1051383844,5a3aa55bce4c6368d186a6107a81bc71,1.0,1.0,1.0,2017-09-14,2017-09-14
131,2017-09-18,olx|mea|za|600|604,olx|mea|za|1051451612,67cd4682995d7d3627769a8769bcaab0,2.0,2.0,3.0,2017-09-19,2017-09-19
132,2017-09-13,olx|mea|za|362|416,olx|mea|za|1051378046,dd319ef8e0e73e3a0fdea91f34209757,2.0,2.0,1.0,2017-09-14,2017-09-14
133,2017-08-29,olx|mea|za|881|883,olx|mea|za|1051167556,1b7d889f3ff3b3ef02db116d9cbe587d,1.0,1.0,2.0,2017-09-14,2017-09-14
134,2017-07-24,olx|mea|za|362|379,olx|mea|za|1050679781,9d63b2fd8f6ce09eda56109b9fc1d435,1.0,1.0,10.0,2017-09-17,2017-09-17
135,2017-09-18,olx|mea|za|806|910,olx|mea|za|1051447045,85c63fbdb319ddacf23e777c501a839c,1.0,0.0,2.0,2017-09-21,2017-09-21
136,2017-09-15,olx|mea|za|362|378,olx|mea|za|1051411223,9af666130c1dafd164f9aeb42ad089b7,22.0,21.0,3.0,2017-09-15,2017-09-21
137,2017-07-21,olx|mea|za|16|363,olx|mea|za|1050637268,3ee720a6b9829942802b314c2fe00e9a,1.0,0.0,1.0,2017-09-15,2017-09-15
138,2017-07-12,olx|mea|za|806|910,olx|mea|za|1050489133,cbf477608c52f77308c214af72a94220,1.0,1.0,2.0,2017-09-15,2017-09-15
139,2017-08-04,olx|mea|za|362|378,olx|mea|za|1050826493,c67d86c45d5fd2ad29ca6ffecb9a8f55,1.0,1.0,2.0,2017-09-18,2017-09-18
140,2017-07-17,olx|mea|za|191|633,olx|mea|za|1050579297,12d88b619ae4d4902a176f20e2d56b0b,1.0,1.0,1.0,2017-09-18,2017-09-18
141,2017-08-09,olx|mea|za|16|367,olx|mea|za|1050900787,23cdb7a365fcbfa4874eb1c87537c6f3,1.0,0.0,1.0,2017-09-20,2017-09-20
142,2017-09-08,olx|mea|za|362|378,olx|mea|za|1051301336,dc57db4308b9077374a75cbe4b30fd84,1.0,0.0,1.0,2017-09-19,2017-09-19
143,2017-09-07,olx|mea|za|800|912,olx|mea|za|1051288821,eed242083e5edb3cd3f3a5d48d61ba13,1.0,0.0,2.0,2017-09-18,2017-09-18
144,2017-09-21,olx|mea|za|806|808,olx|mea|za|1051502437,f5f6c3323915f8f58873aa416d4a7879,2.0,0.0,1.0,2017-09-21,2017-09-21
145,2017-08-24,olx|mea|za|800|802,olx|mea|za|1051105518,3c61c5cbf6d6e5a3e5f6a27e3e98fc6a,1.0,0.0,2.0,2017-09-18,2017-09-18
146,2017-09-18,olx|mea|za|811|812,olx|mea|za|1051447418,34f52c1a4245171779990d34e310661b,1.0,1.0,1.0,2017-09-19,2017-09-19
147,2017-09-08,olx|mea|za|16|363,olx|mea|za|1051296087,fddb1e0dfeec5a0042a3598856c483f7,1.0,1.0,4.0,2017-09-14,2017-09-14
148,2017-09-19,olx|mea|za|362|377,olx|mea|za|1051463335,644727eafc3a35ed8d819181d1abf04a,1.0,0.0,1.0,2017-09-20,2017-09-20
149,2017-09-06,olx|mea|za|800|805,olx|mea|za|1051268665,8c64ff8cd50c9c0bb8f1c737461270d9,1.0,0.0,1.0,2017-09-21,2017-09-21
150,2017-09-14,olx|mea|za|800|805,olx|mea|za|1051386585,0bd087315b9082373b4874825b017799,2.0,1.0,2.0,2017-09-14,2017-09-15
151,2017-08-26,olx|mea|za|362|377,olx|mea|za|1051128782,cd62255d5f56fdab7d5ae289221bbeb2,1.0,0.0,1.0,2017-09-17,2017-09-17
152,2017-09-16,olx|mea|za|806|808,olx|mea|za|1051422148,a70ccbbeaa3c0c6f0c831e89e67f29eb,1.0,1.0,10.0,2017-09-16,2017-09-16
153,2017-09-17,olx|mea|za|362|378,olx|mea|za|1051435033,ea31be4ac0ac7cf0866154429c01e09c,1.0,0.0,1.0,2017-09-17,2017-09-17
154,2017-09-20,olx|mea|za|362|378,olx|mea|za|1051490295,1c1cc76a9a848082a818bce08125cbd6,2.0,0.0,1.0,2017-09-20,2017-09-20
155,2017-09-14,olx|mea|za|800|803,olx|mea|za|1051393584,05fbcdca2b4ad3bd32e46bfe90444488,3.0,0.0,1.0,2017-09-14,2017-09-14
156,2017-09-07,olx|mea|za|362|378,olx|mea|za|1051279816,238eab3c31d00a8fd9ec1ae10a30259f,2.0,1.0,1.0,2017-09-15,2017-09-16
157,2017-09-17,olx|mea|za|800|803,olx|mea|za|1051344392,5391bafcc1e12f40e54e31726a878748,1.0,1.0,3.0,2017-09-20,2017-09-20
158,2017-09-16,olx|mea|za|16|363,olx|mea|za|1051426846,65bd3281d79d8106d145602d9fc54bac,2.0,2.0,5.0,2017-09-17,2017-09-19
159,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051456961,ec59c6f7107cc12f87fc8851e11b653b,5.0,5.0,3.0,2017-09-19,2017-09-20
160,2017-08-17,olx|mea|za|362|378,olx|mea|za|1051005641,b32415f712d4eb6e9a0bd83180abc257,1.0,0.0,1.0,2017-09-19,2017-09-19
161,2017-09-07,olx|mea|za|800|801,olx|mea|za|1051287560,497f42c3f30b29c1de67c226f4db98f2,1.0,1.0,1.0,2017-09-18,2017-09-18
162,2017-09-14,olx|mea|za|600|887,olx|mea|za|1051390914,10fa0087521031c6fca995826cc0e609,2.0,2.0,2.0,2017-09-14,2017-09-16
163,2017-09-18,olx|mea|za|362|378,olx|mea|za|1051445717,7f97ed908693fdb6b16573bea0a7bdc2,1.0,0.0,1.0,2017-09-18,2017-09-18
164,2017-09-16,olx|mea|za|800|801,olx|mea|za|1051428411,0da4c566149d8b8e8fb01e83594cb0b2,6.0,4.0,6.0,2017-09-16,2017-09-19
165,2017-09-17,olx|mea|za|362|378,olx|mea|za|1051437113,3a952258592a2e9039f93ee9ed861502,2.0,2.0,3.0,2017-09-18,2017-09-18
166,2017-08-01,olx|mea|za|811|812,olx|mea|za|1050783471,a2547696e7d5196847d3ce6c216f57d3,1.0,0.0,2.0,2017-09-18,2017-09-18
167,2017-09-07,olx|mea|za|362|376,olx|mea|za|1051279711,848bafd714f78c046369b212603ebb1e,3.0,3.0,5.0,2017-09-17,2017-09-21
